万
锲
锵
锹
锻
锾
镀
镁
镂
镇
镍
镑
镕
镖
镗
镘
镙
镜
镝
镞
镣
镭
镯
镰
镳
镶
长
门
闩
闪
闭
问
闯
闰
闱
闲
间
闵
闷
闸
闹
闺
闻
闽
闾
阀
阁
阂
阅
阎
阐
阑
阔
阕
阖
阗
队
阳
阴
阵
阶
际
陆
陇
陈
陕
陨
险
随
隐
隶
隽
难
雏
雳
雾
霁
霭
靓
静
靥
鞑
韦
韧
韩
韬
韵
页
顶
顷
项
顺
须
顼
顽
顾
顿
颁
颂
预
颅
领
颇
颈
颉
颊
颐
频
颓
颔
颖
颗
题
颚
颛
颜
额
颞
颠
颤
颦
风
飏
飒
飓
飕
飘
飞
餍
饥
饨
饪
饬
饭
饮
饯
饰
饱
饲
饴
饵
饶
饷
饺
饼
饿
馁
馄
馅
馆
馈
馊
馋
馏
馒
马
驭
驮
驯
驰
驱
驳
驴
驶
驷
驸
驹
驻
驼
驽
驾
驿
骂
骄
骆
骇
骈
骊
骋
验
骏
骑
骗
骚
骛
骞
骠
骡
骤
骥
髅
鬓
魇
鱼
鱿
鲁
鲈
鲍
鲔
鲛
鲜
鲢
鲤
鲨
鲫
鲳
鲸
鳃
鳄
鳅
鳌
鳍
鳏
鳔
鳖
鳗
鳜
鳝
鳞
鸟
鸠
鸡
鸢
鸣
鸥
鸦
鸩
鸪
鸭
鸯
鸰
鸳
鸵
鸶
鸽
鸾
鸿
鹃
鹄
鹅
鹉
鹊
鹌
鹏
鹑
鹞
鹤
鹦
鹧
鹭
鹰
麦
麸
麹
黄
黩
鼹
齐
齿
龃
龄
龇
龈
龉
龊
龋
龌
龙
龚
龟
