並
斃
斬
斷
於
時
晉
晝
暈
暉
暢
暫
曆
曉
曖
曠
書
會
朧
朮
東
柵
桿
梔
條
梟
梱
棄
棗
棟
棧
棲
楊
楓
楨
業
極
榮
構
槍
槓
槨
槳
樂
樅
樓
標
樞
樣
樸
樹
樺
橋
機
橢
橫
檔
檜
檢
檳
檸
檻
櫂
櫃
櫓
櫚
櫛
櫝
櫥
櫻
欄
權
欖
欽
歐
歟
歡
歲
歷
歸
歿
殘
殤
殮
殯
殲
殺
殼
毆
氣
氫
氳
氾
決
沒
沖
況
洶
涇
涼
淒
淚
淨
淪
淵
淺
渙
減
渦
測
渾
湊
湧
湯
準
溝
溫
溼
滄
滅
滌
滬
滯
滲
滾
滿
漁
漢
漣
漬
漲
漸
漿
潑
潔
潛
潤
潰
澀
澆
澗
澤
澱
濁
濃
濘
濟
濤
濫
濬
濱
濺
濾
瀆
瀉
瀋
瀏
瀕
瀝
瀟
瀨
瀰
瀾
灑
灘
灣
灤
災
為
烏
無
煉
煙
煥
煩
煬
熱
熾
燄
燈
燉
燐
燒
燙
燜
營
燦
燭
燴
燻
爍
爐
爛
爭
爺
爾
牆
牘
牽
犖
犛
犢
犧
狀
狹
狽
猙
猶
獄
獅
獎
獨
獰
獲
獵
獷
獸
獺
獻
玀
玨
珮
現
琺
琿
瑣
瑤
瑩
瑪
瑯
瑴
璣
璦
環
璽
瓊
瓏
甌
甕
產
甦
畝
畢
畫
異
當
疇
疊
痙
痺
瘉
瘋
瘍
瘓
瘡
瘧
療
癆
癒
癘
癢
癩
癬
癮
癱
癲
發
皚
皰
皺
盃
盜
盞
盡
監
盤
盧
盪
眾
睏
睜
睞
瞇
瞞
矓
矚
矯
硃
硯
碩
確
碼
磚
磯
礎
礙
礦
礪
礫
礬
祐
祕
祿
禍
禎
禦
禪
禮
禱
禿
稅
稈
稜
稟
種
稱
穀
穌
積
穎
穡
穢
穩
穫
窩
窪
窮
窯
窺
竄
竅
竇
竊
競
筆
筍
箋
箏
節
範
築
篛
篤
篩
簍
簑
簞
簡
簣
簫
簷
簾
籃
籌
籐
籟
籠
籤
籬
籮
籲
粵
糞
糧
糾
紀
紂
約
紅
紇
紉
紋
納
紐
純
紕
紗
紙
級
紛
紜
紡
紮
細
紳
紹
紼
絀
終
絃
組
絆
結
絕
絞
絡
絢
給
絨
統
絲
絹
綁
綏
綑
經
綜
綞
綠
綢
維
綰
綱
網
綴
綵
綸
綺
綻
綽
綾
綿
緇
緊
緒
緘
線
緝
緞
締
緣
編
緩
緬
緯
練
緻
縈
縊
縑
縛
縣
縫
縮
縱
縲
縷
總
績
繃
繅
繆
織
繕
繚
繞
繡
繩
繪
繭
繹
繼
繽
續
纏
纓
纖
纜
缽
罈
罰
罵
罷
羅
羈
羋
羨
義
羶
習
翹
聖
聞
聯
聰
聲
聳
聶
職
聽
聾
肅
脅
脈
脣
脫
脹
腎
腦
腫
腳
腸
膚
膠
膩
膽
膾
膿
臉
臍
臏
臘
臚
臟
臥
臨
與
興
舉
舊
艙
艦
艱
芻
苧
茲
荊
莊
莖
莢
華
菴
萊
萬
萵
葉
著
葦
葷
蒞
蒼
蓀
蓋
蓮
蔔
蔣
蔥
蔭
蕩
蕪
蕭
薑
薔
薩
藍
藝
藥
藪
藹
藺
蘆
蘇
蘊
蘋
蘚
蘭
蘿
處
虛
虜
號
虧
蛻
蝕
蝦
蝨
蝸
螞
螢
螻
蟈
蟬
蟯
蟲
蟻
蠅
蠍
蠔
蠟
蠣
蠱
蠶
蠻
術
衛
衝
袞
裊
補
裝
裡
製
褲
褸
褻
襖
襠
襤
襪
襯
襲
見
規
覓
視
覦
親
覬
覲
覺
覽
觀
觴
觸
訂
訃
計
訊
訌
討
訐
訓
訕
訖
託
記
訛
訝
訟
訣
訥
訪
設
許
訴
診
註
証
詁
詆
詐
詔
評
詛
詞
詠
詢
詣
試
詩
詫
詬
詭
詮
詰
話
該
詳
詼
誅
誇
誌
認
誑
誕
誘
語
誠
誡
誣
誤
誥
誦
誨
說
誰
課
誼
調
諂
諄
談
諉
請
諍
諒
論
諜
諦
諧
諫
諭
諮
諱
諷
諸
諺
諾
謀
謁
謂
謄
謊
謎
謗
謙
講
謝
謠
謨
謬
謹
譁
證
譎
譏
識
譚
譜
譯
議
譴
護
譽
讀
變
讒
讓
讖
讚
谿
豈
豎
豐
豔
豬
貍
貓
貝
貞
負
財
貢
貧
貨
販
貪
貫
責
貯
貲
貳
貴
貶
買
貸
費
貼
貽
貿
賀
賁
賂
賃
賄
賅
資
賈
賊
賑
賒
賓
賜
賞
賠
賢
賣
賤
賦
質
賬
賭
賴
賺
購
賽
贅
贈
贊
贍
贏
贓
贖
贗
贛
趕
趙
趨
跡
踐
踴
蹣
蹤
蹺
躂
躉
躊
躍
躑
躡
躪
軀
車
軋
軌
軍
軒
軔
軛
軟
軸
軻
軼
軾
較
載
輊
輒
輓
輔
輕
輛
輜
輝
輟
輦
輩
輪
輯
輸
輻
輾
輿
轂
轄
轅
轉
轍
轎
轔
轟
轡
辦
辭
辮
辯
農
迆
逕
這
連
週
進
遊
運
過
達
違
遙
遜
遞
遠
適
遲
遷
選
遺
遼
邁
還
邇
邊
邏
邐
郵
鄉
鄒
鄧
鄭
鄰
醃
醜
醞
醫
醬
釀
釁
釋
釐
釗
釘
針
釣
釦
釧
釵
鈉
鈍
鈐
鈔
鈕
鈞
鈣
鈴
鈷
鈸
鈽
鈾
鉀
鉋
鉑
鉗
鉛
鉤
鉸
鉻
銀
銅
銓
銖
銘
銜
銬
銳
銷
銻
銼
鋁
鋅
鋒
鋤
鋪
鋸
鋼
錄
錐
錘
錚
錠
錢
錦
錨
錫
錯
錳
鍊
鍋
鍍
鍛
鍥
鍬
鍰
鍵
鍾
鎂
鎊
鎔
鎖
鎢
鎮
鎳
鏃
鏈
鏍
鏑
鏗
鏘
鏜
鏝
鏟
鏡
鏢
鏤
鏽
鐃
鐘
鐮
鐲
鐳
鐵
鐸
鐺
鑄
鑑
鑒
鑠
鑣
鑰
鑲
鑼
鑽
鑾
鑿
長
門
閂
閃
閉
開
閏
閑
閒
間
閔
閘
閡
閣
閥
閨
閩
閭
閱
閻
闈
闊
闋
闌
闐
闔
闖
關
闡
闢
陝
陣
陰
陳
陸
陽
隊
階
隕
際
隨
險
隱
隴
隸
隻
雋
雖
雙
雛
雜
雞
離
難
雲
電
霑
霧
霽
靂
靄
靈
靜
靦
靨
鞏
韁
韃
韋
韌
韓
韜
韻
響
頁
頂
頃
項
順
須
頊
頌
預
頑
頒
頓
頗
領
頡
頤
頭
頰
頷
頸
頹
頻
顆
題
額
顎
顏
顓
願
顛
類
顧
顫
顯
顰
顱
風
颯
颳
颶
颺
颼
飄
飛
飢
飩
飪
飭
飯
飲
飴
飼
飽
飾
餃
餅
餉
養
餌
餒
餓
餘
餛
餞
餡
館
餵
餽
餾
餿
饅
饑
饒
饜
饞
馬
馭
馮
馱
馳
馴
駁
駐
駑
駒
駕
駙
駛
駝
駟
駢
駭
駱
駿
騁
騎
騖
騙
騫
騰
騷
騾
驀
驃
驅
驕
驗
驚
驛
驟
驢
驥
驪
骯
髏
髒
體
髮
鬆
鬍
鬢
鬥
鬧
鬨
鬱
魘
魚
魯
魷
鮑
鮪
鮫
鮮
鯉
鯊
鯧
鯨
鯽
鰍
鰓
鰥
鰭
鰱
鰻
鰾
鱉
鱔
鱖
鱗
鱷
鱸
鳥
鳩
鳳
鳴
鳶
鴆
鴉
鴒
鴕
鴛
鴣
鴦
鴨
鴻
鴿
鵑
鵝
鵠
鵡
鵪
鵬
鵲
鶉
鶯
鶴
鷂
鷓
鷗
鷥
鷹
鷺
鸚
鸞
鹹
鹼
鹽
麗
麥
麩
麴
麼
黃
點
黨
黴
黷
鼇
鼴
齊
齋
齒
齜
齟
齡
齦
齪
齬
齲
齷
龍
龐
龔
龜
